Date,Description,Amount
2026-02-25,Salary Deposit FinTech Studio,24500
2026-02-01,Rent Greenpoint Property,-7800
2026-02-02,Checkers Hyper Groceries,-1430
2026-02-04,Engen Fuel Cape Town,-890
2026-02-06,Vodacom Contract Debit Order,-399
2026-02-08,Netflix Subscription,-199
2026-02-12,Mr D Food Takeaway,-246
2026-02-14,Prepaid Electricity City Power,-950
2026-02-18,Discovery Insurance,-1350
2026-02-22,Standard Bank Monthly Fee,-72
2026-03-25,Salary Deposit FinTech Studio,24500
2026-03-01,Rent Greenpoint Property,-7800
2026-03-02,Pick n Pay Groceries,-1320
2026-03-05,Shell Fuel Sea Point,-820
2026-03-06,Vodacom Contract Debit Order,-399
2026-03-08,Netflix Subscription,-199
2026-03-10,Spotify Premium,-65
2026-03-12,Uber Eats Takeaway,-315
2026-03-18,Discovery Insurance,-1350
2026-03-20,Takealot Online Shopping,-899
2026-03-22,Standard Bank Monthly Fee,-72
2026-04-25,Salary Deposit FinTech Studio,24500
2026-04-01,Rent Greenpoint Property,-7800
2026-04-03,Woolworths Food Groceries,-1180
2026-04-04,BP Fuel Observatory,-760
2026-04-06,Vodacom Contract Debit Order,-399
2026-04-08,Netflix Subscription,-199
2026-04-11,KFC Takeaway,-184
2026-04-15,Clicks Pharmacy,-420
2026-04-18,Discovery Insurance,-1350
2026-04-22,Standard Bank Monthly Fee,-72
2026-05-25,Salary Deposit FinTech Studio,24500
2026-05-01,Rent Greenpoint Property,-7800
2026-05-03,Shoprite Groceries,-1265
2026-05-05,Engen Fuel Cape Town,-910
2026-05-06,Vodacom Contract Debit Order,-399
2026-05-08,Netflix Subscription,-199
2026-05-09,Showmax Subscription,-99
2026-05-12,Nandos Takeaway,-228
2026-05-14,Prepaid Electricity City Power,-1050
2026-05-18,Discovery Insurance,-1350
2026-05-20,Cotton On Shopping,-680
2026-05-22,Standard Bank Monthly Fee,-72
